"commissioning_year","coal","cogeneration","wind","solar","storage","biomass","hydro","other","gas","waste","geothermal","petcoke","oil","nuclear"
"1896","0","0","0","0","0","0","471","0","0","0","0","0","0","0"
"1899","0","0","0","0","0","0","471","0","0","0","0","0","0","0"
"1900","0","0","0","0","0","0","1413","0","528","0","0","0","110","0"
"1901","0","0","0","0","0","0","942","0","0","0","0","0","0","0"
"1902","0","0","0","0","0","0","1884","0","0","0","0","0","0","0"
"1903","0","0","0","0","0","0","2826","0","0","0","0","0","0","0"
"1904","0","0","0","0","0","0","1884","0","0","0","0","0","0","0"
"1905","0","0","0","0","0","19","2826","0","0","0","0","0","55","0"
"1906","0","0","0","0","0","0","3768","0","0","0","0","0","0","0"
"1907","0","0","0","0","0","0","5652","0","0","0","0","0","0","0"
"1908","1490","0","0","0","0","0","3768","0","0","0","0","0","0","0"
"1909","0","0","0","0","0","0","4710","0","0","0","0","0","0","0"
"1910","0","0","0","0","0","0","5181","0","0","0","0","0","0","0"
"1911","0","0","0","0","0","0","5181","0","0","0","0","0","0","0"
"1912","0","0","0","0","0","0","8007","0","528","0","0","0","0","0"
"1913","0","0","0","0","0","0","7065","0","0","0","0","0","0","0"
"1914","0","0","0","0","0","0","8007","0","528","0","0","0","0","0"
"1915","0","0","0","0","0","0","5652","0","0","0","0","0","0","0"
"1916","0","0","0","0","0","0","6123","0","0","0","0","0","0","0"
"1917","0","0","0","0","0","0","7065","0","0","0","0","0","0","0"
"1918","0","0","0","0","0","0","8007","0","0","0","0","0","0","0"
"1919","1490","0","0","0","0","0","6594","0","0","0","0","0","0","0"
"1920","1490","0","0","0","0","0","7536","0","0","0","0","0","0","0"
"1921","0","0","0","0","0","0","11304","0","0","0","0","0","0","0"
"1922","0","0","0","0","0","0","9420","0","0","0","0","0","0","0"
"1923","0","0","0","0","0","0","15072","0","528","0","0","0","0","0"
"1924","1490","0","0","0","0","0","16956","0","0","0","0","0","0","0"
"1925","0","0","0","0","0","0","21195","0","1056","0","0","0","0","0"
"1926","0","0","0","0","0","0","13188","0","0","0","0","0","0","0"
"1927","0","0","0","0","0","0","13188","0","0","0","0","0","0","0"
"1928","1490","0","0","0","0","0","16014","0","0","0","0","0","55","0"
"1929","1490","0","0","0","0","0","6594","75","0","0","0","0","0","0"
"1930","1490","0","0","0","0","0","13188","0","2112","0","0","0","0","0"
"1931","0","0","0","0","0","0","10362","0","528","0","0","0","0","0"
"1932","1490","0","0","0","0","0","7536","0","1056","0","0","0","0","0"
"1933","0","0","0","0","0","0","4710","0","1584","0","0","0","55","0"
"1934","1490","0","0","0","0","0","6594","0","2640","0","0","0","55","0"
"1935","0","0","0","0","0","0","7065","0","0","0","0","0","0","0"
"1936","4470","0","0","0","0","0","5652","0","1584","0","0","0","0","0"
"1937","0","0","0","0","0","0","6594","0","528","0","0","0","0","0"
"1938","0","0","0","0","0","0","7536","0","1584","0","0","0","0","0"
"1939","1490","0","0","0","0","0","5181","0","528","0","0","0","0","0"
"1940","1490","0","0","0","0","0","7065","0","528","0","0","0","0","0"
"1941","0","0","0","0","0","19","8949","0","528","0","0","0","0","0"
"1942","4470","0","0","0","0","0","6123","0","1056","0","0","0","0","0"
"1943","2980","0","0","0","0","0","13659","0","528","0","0","0","55","0"
"1944","1490","0","0","0","0","0","7065","0","528","0","0","0","0","0"
"1945","0","0","0","0","0","0","5181","0","528","0","0","0","0","0"
"1946","0","0","0","0","0","0","6594","0","1056","0","0","0","0","0"
"1947","1490","0","0","0","0","0","8949","0","2640","0","0","0","0","0"
"1948","1490","0","0","0","0","0","8478","0","3696","0","0","0","55","0"
"1949","1490","0","0","0","0","0","16014","75","1056","82","0","0","55","0"
"1950","5960","0","0","0","0","0","14601","0","1584","82","0","0","110","0"
"1951","1490","156","0","0","0","0","16956","0","2640","0","0","0","55","0"
"1952","1490","0","0","0","0","0","14130","0","1584","0","0","0","110","0"
"1953","5960","0","0","0","0","0","17427","0","2640","0","0","0","0","0"
"1954","10430","0","0","0","0","19","16485","75","5280","41","0","0","55","0"
"1955","7450","0","0","0","0","19","21195","0","4752","41","0","0","220","0"
"1956","8940","0","0","0","0","0","17427","0","2112","0","0","662","165","0"
"1957","10430","0","0","0","0","0","21195","75","6336","41","0","0","55","0"
"1958","5960","0","0","0","0","0","23550","75","7392","0","0","0","110","0"
"1959","10430","0","0","0","0","57","20724","0","5808","41","0","0","330","0"
"1960","10430","0","0","0","0","0","19782","0","4224","0","0","0","220","0"
"1961","17880","0","0","0","0","0","15072","0","6336","41","0","0","110","0"
"1962","11920","0","0","0","0","38","15543","0","4224","41","0","0","275","0"
"1963","14900","0","0","0","0","19","21666","0","5808","82","0","0","495","0"
"1964","2980","0","0","0","0","19","22137","75","6336","0","0","0","495","7523"
"1965","19370","0","0","0","0","38","18840","0","8976","0","0","0","605","0"
"1966","17880","0","0","0","0","76","20253","75","6864","41","126","0","385","0"
"1967","14900","0","0","0","0","38","19782","0","6336","41","126","0","550","0"
"1968","29800","78","0","0","0","95","16956","0","8448","0","0","0","990","0"
"1969","16390","0","0","0","0","57","19782","0","17952","0","126","0","1760","0"
"1970","28310","0","0","0","0","19","19782","0","10560","0","0","0","990","15046"
"1971","19370","0","0","0","0","38","11304","0","11088","0","0","0","1265","30092"
"1972","25330","0","0","0","0","19","9891","0","13200","41","0","0","1100","22569"
"1973","37250","0","0","0","0","38","16014","0","15840","0","126","0","1265","30092"
"1974","29800","0","0","0","0","57","13188","0","12672","41","0","662","880","37615"
"1975","22350","78","67","0","0","114","14601","0","14784","41","126","0","935","22569"
"1976","29800","78","0","0","0","114","7536","0","10560","123","0","0","1100","37615"
"1977","19370","0","0","0","0","76","11304","0","11616","82","504","0","715","22569"
"1978","28310","78","0","0","0","38","16956","0","7392","41","0","0","1045","7523"
"1979","23840","0","0","0","0","19","12717","0","8448","41","126","662","880","30092"
"1980","34270","0","0","0","0","95","19311","75","17952","123","0","0","605","7523"
"1981","28310","0","0","0","0","114","13188","0","7392","164","504","0","770","30092"
"1982","23840","0","0","0","0","76","23550","0","10032","205","378","0","990","7523"
"1983","26820","78","268","0","0","114","21195","0","8448","246","126","1324","1320","7523"
"1984","26820","0","201","0","0","95","24021","0","8976","205","378","1324","660","75230"
"1985","32780","156","469","0","0","38","35796","0","15312","287","252","0","1155","90276"
"1986","43210","78","201","0","0","114","32499","150","17424","697","378","662","770","45138"
"1987","28310","78","469","84","0","190","23550","75","19536","574","252","662","715","37615"
"1988","26820","0","67","0","0","57","33912","0","22176","738","378","0","605","52661"
"1989","31290","156","134","56","0","76","26847","0","22176","1025","756","0","990","7523"
"1990","38740","0","268","56","0","152","21195","75","20064","369","630","0","1100","15046"
"1991","22350","78","335","0","0","57","17427","75","22176","615","504","662","880","7523"
"1992","31290","0","268","0","0","57","16956","0","23760","574","378","0","1320","0"
"1993","22350","234","134","0","0","57","24963","0","25872","492","252","0","1265","7523"
"1994","35760","0","134","0","0","228","22137","0","29040","328","378","0","990","0"
"1995","41720","78","268","0","0","152","16014","0","25872","205","630","662","1485","0"
"1996","41720","78","268","0","0","171","13188","75","29568","410","756","0","1100","7523"
"1997","22350","78","335","0","0","95","11304","75","21120","410","378","0","1320","0"
"1998","43210","78","1206","0","0","95","15072","0","27456","369","1008","0","1485","0"
"1999","43210","0","1474","0","0","76","14130","0","34848","410","378","0","2475","0"
"2000","62580","0","2077","0","0","190","12246","75","53856","697","630","0","2805","15046"
"2001","49170","0","3082","0","0","475","14601","150","70224","328","126","0","3520","7523"
"2002","70030","0","2479","28","0","418","17427","0","70224","246","1008","0","3905","7523"
"2003","58110","0","3283","0","0","304","18369","0","65472","574","126","0","2475","0"
"2004","73010","0","4288","0","7","475","17427","75","50688","820","0","0","2090","7523"
"2005","73010","78","5829","28","0","285","17898","0","45408","656","504","0","2640","0"
"2006","123670","78","8241","84","0","532","25905","0","27456","861","378","0","2090","7523"
"2007","119200","78","7303","168","0","323","24492","75","27984","1230","252","0","1980","0"
"2008","107280","78","9849","616","0","551","34383","0","40128","1640","378","0","2475","0"
"2009","92380","156","12797","924","21","703","35796","0","30624","1845","756","0","2805","0"
"2010","125160","156","6968","1736","7","760","40977","300","31680","1353","378","0","4070","0"
"2011","101320","78","9715","4256","14","456","40977","75","31680","1599","126","0","2915","7523"
"2012","117710","0","9916","5992","21","551","41919","0","34848","1353","630","0","3795","7523"
"2013","89400","78","7236","7084","42","589","34383","75","38016","1558","756","0","3520","0"
"2014","70030","0","12127","10416","35","646","24963","0","35904","820","630","0","1925","7523"
"2015","111750","78","12931","9604","63","342","29673","0","33264","369","630","0","2475","7523"
"2016","125160","78","11591","13048","77","133","21195","0","22704","615","0","0","2090","0"
"2017","68540","0","6700","14140","133","57","9891","75","22704","287","252","0","275","0"
"2018","20860","0","2814","13888","77","57","2355","75","28512","164","252","0","385","0"
"2019","0","78","4087","12600","217","38","0","0","16896","123","252","0","165","0"
"2020","0","0","1139","3192","14","19","0","0","3168","82","0","0","0","0"
